"filename", "language", "YAML", "Swift", "Dart", "JSON", "XML", "Markdown", "CMake", "HTML", "C++", "Groovy", "Properties", "comment", "blank", "total"
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\sheets\event_filter_sheet.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 115
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\avatar_icon.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 59
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\map_canvas.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 46
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\markers_layer.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\search_event_appbar.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 249
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\favorites\favorites_page.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 59
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\history\history_page.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 48
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\preferences\preferences_page.dart", "Dart", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 154
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\profile\profile_page.dart", "Dart", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 258
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\settings\presentation\about\about_page.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\settings\presentation\settings\settings_page.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 99
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\settings\presentation\test\test_page.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\user\data\activity_item.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\user\data\user.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\user\presentation\user_profile_page.dart", "Dart", 0, 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 401
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 472, 118, 746
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations_en.dart", "Dart", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 3, 105, 331
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations_zh.dart", "Dart", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 3, 105, 325
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\Tool\full_screen_image_page.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 56, 42, 144
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\pages\home_page.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 102, 27, 243
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\pages\mine_page.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\test_staggered_grid.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\deprecated\test\test_page_qq.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 145, 52, 254
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\tuotuo\test_evente_detail_page.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 168
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\tuotuo\test_home_page.dart", "Dart", 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 347
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\extensions\common_extensions.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 60
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\legal\data\disclaimer.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\legal\disclaimer_dialog.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\legal\disclaimer_sources.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 108
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\widgets\scroll_activity_listener.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 25, 129
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 10, 89
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 5, 28
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 21, 27, 131
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 5, 19
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 41
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\AppDelegate.swift", "Swift", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\pubspec.yaml", "YAML", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 15, 124
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\test\widget_test.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 20, 109
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 12, 110
