"filename", "language", "C++", "JSON", "Markdown", "CMake", "YAML", "Dart", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\event_map_state\events_providers.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 5, 34
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\event_map_state\location_provider.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 7, 38
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\core\state\settings_providers.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 51, 24, 131
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\auth\domain\auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 5, 14
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\auth\presentation\login_page.dart", "Dart", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 51, 7, 116
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_data.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_filter.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\data\event_test.dart", "Dart", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 10, 101
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\detail\events_detail_page.dart", "Dart", 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 14, 17, 403
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\list\events_list_page.dart", "Dart", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 2, 9, 120
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\dialogs\create_event_dialog.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 4, 4, 97
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\events_map_page.dart", "Dart", 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 0, 7, 31, 307
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\sheets\event_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 10, 4, 172
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\sheets\event_filter_sheet.dart", "Dart", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 2, 2, 94
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\avatar_icon.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\map_canvas.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 4, 44
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\markers_layer.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 5, 41
